country,cluster,pca_x,pca_y
Ethiopia,2,-0.7618728605411886,-1.7499418902100379
Kenya,2,-0.5807804317626952,-1.7049763912707496
Malawi,2,-0.9913489120407991,0.017271906636210924
Mozambique,2,-1.6539130536177136,-0.42087200804682373
Tanzania,4,-0.09982002919433391,-0.6687856430954691
Zambia,2,-0.5618414639002759,0.3548686587857727
Angola,2,-1.8871824610701677,0.1442143651471417
Algeria,3,-1.0828026960585595,-0.5780093759444617
Egypt,4,-1.0193753439382,-1.7629955944692872
Libya,2,-1.355300459872248,-1.3467700504043132
Morocco,3,-1.6185985529222207,-0.4306922387133103
Tunisia,3,-2.048844106463729,0.2984901325540626
Namibia,2,-1.190472469448597,0.9438367178959897
Burkina Faso,4,-0.35836056664328525,-1.2032403089651371
Ghana,2,-1.8379357988090759,-0.874852881163121
Nigeria,2,-1.0477976784727308,-1.9155628489636212
Senegal,2,-0.971328843445001,-0.10917241695455199
Sierra Leone,2,-2.0703383587220427,0.4357858025720819
Kazakhstan,4,1.0680357556010915,-1.5180699500541417
China,4,1.160981751138019,-0.48656064869794785
Hong Kong,1,2.5360626294788604,-0.08978357706514789
Taiwan,1,1.3449224206838348,0.39554937863588197
Japan,1,3.0401529250869546,-1.03704162556467
Mongolia,3,-2.7939152845643305,1.7310079318065876
Republic of Korea,4,1.1056360426067648,0.7530315531670478
Bangladesh,4,-0.028400809746358165,-2.205899878893896
Bhutan,3,-2.584854671788138,1.860674991410648
India,4,1.8378154592008662,-2.463177608193333
Iran,4,0.8413762717244471,-1.1614279591018284
Nepal,4,0.3300796261003248,-0.46733173092156005
Pakistan,4,0.8100403326209369,-2.573803135898935
Sri Lanka,3,-1.8242509773395774,1.219120729320467
Indonesia,2,-1.2189489063004433,-1.2680752979473016
Malaysia,4,0.4014419294879686,-1.3120771621788292
Philippines,2,-1.2636150084368893,-1.1309761440406052
Singapore,1,1.498909702735931,0.25266712874499964
Thailand,4,0.9046165442776732,-0.5182573690361769
Viet Nam,2,-0.8138173699062344,0.3081330937657253
Armenia,4,-0.9467018121933055,-1.0056327341246516
Azerbaijan,4,-0.3366877976083819,-0.8047073878622825
Georgia,3,-1.7791177777701503,-0.28649713913587876
Iraq,3,-1.6503689727447555,-1.8618190600766047
Israel,1,2.2922844360718964,0.6315539547933559
Jordan,4,0.28764823909786,-1.2660517815767502
Kuwait,4,0.08944388531611298,-0.8068188044650135
Lebanon,4,0.4538340662955669,-0.47001851871885664
Qatar,4,-1.3611604625099991,-1.4672343650634014
Saudi Arabia,4,1.3959946660050913,-1.3718024971058058
Syrian Arab Republic,4,0.011727598061747613,-1.0940102445922268
TÃ¼rkiye,4,1.0465264140650024,-0.9658888309659632
United Arab Emirates,4,0.5962215188809518,-1.3632704605221835
Belarus,4,0.28678359852569535,-0.5681170384256687
Bulgaria,3,-0.8232573867177762,0.6825646952609578
Czechia,1,1.2149421246217975,0.307455657128353
Hungary,1,1.1295157157255284,-0.01570622808557408
Poland,4,0.8102610390751214,-1.0484240184179254
Republic of Moldova,3,-0.7813374756551812,-0.16611006437312034
Romania,3,-1.0569531862199788,-0.546168056822566
Russian Federation,4,1.9871580773643998,-2.149657834378234
Ukraine,4,1.5502742114592003,-1.3919843746136382
Denmark,0,1.9807361619344372,3.5440414781658323
Estonia,0,0.9367131006182833,2.0361103923742054
Finland,0,0.9731781951692289,2.6737436772730576
Iceland,0,-0.4822093431914706,4.630560359724821
Ireland,1,1.6304973005499814,0.8365187307048377
Latvia,0,1.135642460659322,2.2757051411632605
Lithuania,0,0.14943810097820062,1.7973568499962238
Norway,0,1.3912792399136313,2.911427989586507
Sweden,0,2.140251711240331,2.960167970995807
United Kingdom,1,3.5141801199841707,0.30775637351056345
Albania,3,-1.4038488181661306,-0.6145569540531174
Bosnia and Herzegovina,3,-1.8761878932745706,0.23037671408057075
Croatia,4,-0.015502369169086793,-0.08517775121419809
Greece,1,1.2007241588329796,-0.19298520823599685
Italy,1,2.068396813683681,-1.240915091108154
Malta,3,-1.3129681805824125,2.148841214011271
Montenegro,3,-1.8233950405019241,-0.011665221120189095
North Macedonia,3,-1.3617392153734778,-0.01319671503308955
Portugal,4,0.6073532650646276,0.21401657697315984
Serbia,4,0.13183507088314242,-0.9486780697601837
Slovenia,0,-0.015204697408461088,1.8787882938356384
Spain,1,2.043168454465659,-0.3058497239384953
Austria,1,2.5079140334913235,1.0490608074309558
Belgium,1,1.7764139106730454,0.34331709551654993
France,1,2.6756226325476873,-0.5701867290152824
Germany,1,3.8362619597936436,-0.4557518110522255
Luxembourg,0,0.5025522334998722,2.0675346513555066
Netherlands,0,2.754424861091754,2.5004965066894482
Switzerland,1,2.2692804174038232,0.7553473680167307
Dominican Republic,2,-0.5714328904855236,-0.3081713976710741
Jamaica,2,-1.7111492426697634,1.8347864078043232
Puerto Rico,2,-0.43718393286014473,0.7432064498895139
Trinidad and Tobago,2,-1.8446205082493699,1.3040003986616642
Costa Rica,2,-0.7305877167780976,0.7940974995259346
El Salvador,2,-2.524278161202554,0.7667697083164073
Guatemala,3,-2.229755217035254,-0.022951784019541965
Honduras,2,-2.673141933918193,0.6341018251406405
Mexico,2,-0.24284669830979283,-1.3458065787921225
Panama,2,-2.4255147931431953,-0.5588452059350517
South America,5,0.11340717960749266,2.077364529525959
Argentina,1,1.2204570554052887,-0.5325592930240401
Bolivia,3,-1.8132913944366067,-0.3131983494811711
Brazil,2,0.0025669993837855102,-0.9305717096080703
Chile,2,-0.6869796282324304,0.4468599202069307
Colombia,2,-1.5631082319086027,-0.512614306052087
Ecuador,2,-1.1400211787103995,-0.6685068159915706
Paraguay,2,-1.7284692008168019,-0.22851005488716816
Peru,2,-1.8972870369976027,-0.4287613516529613
Suriname,3,-2.6318270246761717,1.305767028749299
Uruguay,3,-1.0047784953052132,1.1870119325012862
Venezuela,2,-0.5749454778494575,-1.6242802663599407
Canada,1,3.120506871943449,0.3596478629068411
United States of America,1,4.133033071042996,-1.2028276787146333
Australia,1,3.0559731917302178,0.3935715643933412
New Zealand,1,2.0037374139618187,1.7353459082721872
Fiji,3,-2.784656659186449,1.684915316917407
