country,cluster,pca_x,pca_y,immigration_ratio_2020,immigration_ratio_2024
Ethiopia,3,-2.5616684584296556,0.6266068713087033,1.384996397499331,3.5877137844520757
Kenya,0,-1.890136094935553,0.588668796020384,6.6550251525482995,10.575035770017195
Malawi,3,-1.3655597209684895,0.740695341693679,5.840092114202088,4.99844170966876
Mozambique,3,-2.3922211441435874,1.3700105832795706,2.7141606101835043,4.8777273974488935
Tanzania,7,-1.2885039199360864,0.248966823046447,6.8637326683354996,2.845802658970102
Zambia,2,-0.8721477595123924,0.6558119234155041,8.560675307690289,3.32374925374832
Angola,3,-2.25747297791589,1.1348840627236814,0.6287087589406319,9.05541326369515
Algeria,7,-1.8922741891062693,-0.39026708422380924,2.3829535864978904,2.3829324894514765
Egypt,7,-2.578333513924868,-0.8525379247063953,0.7290023441507073,2.149103124173241
Libya,0,-1.1845088765298453,-0.1316147357283167,26.610269473119722,29.761764311569916
Morocco,7,-2.2963842429779433,-0.12387476460459197,0.7005748020613479,1.2500431054028245
Tunisia,7,-1.9289383343064066,-0.18899273367706673,1.5068280442750182,2.2785344911185264
Namibia,2,-0.18160152844073302,0.5283285663478434,20.64352149168823,15.510516308061042
Burkina Faso,2,-0.9427596689599255,-0.6425774601427817,11.209048666227153,15.34439196307621
Ghana,3,-2.5710135868085247,0.786425422968669,2.7953570554299962,5.741088802864528
Nigeria,3,-3.2307394089322603,1.490293450969183,0.9726139410187669,2.418355674709562
Senegal,3,-1.3157977075388356,0.723995498188883,5.938120150863286,6.727922562038347
Sierra Leone,3,-1.9045907452448019,0.9504503472838185,4.823913922604327,2.8369549040609554
Kazakhstan,4,0.8834776330516146,-2.4261643639782484,47.270789689193016,54.54489466855127
China,2,0.5312087896186045,-0.24690471322791896,12.598430735027971,22.731753455231928
Hong Kong,6,3.07552265327398,-0.8997845126140236,191.76260378611755,228.51291929591497
Taiwan,1,1.0449677613883592,-0.09811059477945525,10.965718577120732,24.456930215515005
Japan,1,1.1629194168253216,-0.31782674128150573,7.0363688012336665,11.157617076535995
Mongolia,7,-1.6963665915382409,0.27520566354786097,1.0274103025951842,1.8624280114589253
Republic of Korea,1,0.8902389938468769,-0.7250746843016975,2.232023121387283,21.36019267822736
Bangladesh,7,-2.0358688864595176,-0.7505686842324273,2.6847372294579457,3.9477259558003053
Bhutan,7,-0.5934455829772456,-0.21986297872852686,7.572288764774381,9.833644328180979
India,7,-1.5901440450878512,0.09455644343203741,2.1377982535410487,1.9532401210164922
Iran,2,-0.4932381108754419,0.16084738304055932,12.92501172678198,14.454230861125783
Nepal,2,-0.27606513282230755,-0.0949593188270412,15.911458472631573,11.805024364933752
Pakistan,2,-1.399321971618783,-1.045284461183705,7.999820090673423,6.878070035701243
Sri Lanka,7,-1.673160589154266,-0.13149963771346213,0.8344832117747552,0.8712425625494815
Indonesia,7,-3.0038172026400543,0.4009161482376807,0.4196368693492718,0.30852684497854443
Malaysia,2,-0.3206211656165641,-0.04561046287546717,21.192052980132452,42.12986792943383
Philippines,7,-2.7136560638961953,0.2486410104596931,0.619477478803683,0.44676123080589814
Singapore,6,2.163919139734237,0.42548141642038356,119.81489967595168,234.99132597950967
Thailand,2,-0.11284113132225095,-0.18707416196824928,5.802294090887833,19.212737877097418
Viet Nam,7,-1.8882957086157082,0.9517883489334517,0.42268989321497713,0.5369149370755784
Armenia,4,0.1298545506860561,-2.0644324830319074,109.03322280735973,36.552564852740396
Azerbaijan,4,-0.15530186506250784,-1.8661720286725878,26.183975702523462,11.621190264684005
Georgia,2,-1.1236809308937326,-0.7477822406227383,10.696537122327584,10.776268764117061
Iraq,3,-2.594212476342476,-1.5077440907447828,1.9528047926145855,3.2553974255137166
Israel,6,2.7496308765558757,-0.035627132657689506,97.58268540079726,106.84384496980701
Jordan,4,0.5062695200289954,-0.6319952525773918,70.07320606783705,165.1253621953298
Kuwait,4,0.9714245029605546,-1.2641822540641203,80.00403175085746,198.39348659176514
Lebanon,4,1.1455393492990738,-1.2114921846293578,39.01275045537341,161.2007285974499
Qatar,4,-0.3758196526716283,-1.7882815963346308,41.145292314208774,125.43239509061388
Saudi Arabia,4,0.9054710536534627,-1.1856871915061762,48.948733551121975,90.16106954392428
Syrian Arab Republic,2,-0.5406181511283308,-0.6531441810098049,15.883489461358312,15.954293520686964
TÃ¼rkiye,2,-0.1558180423233514,-0.1791874476848309,7.741661513255644,20.444045349518937
United Arab Emirates,4,0.814877908214712,-1.18784720391016,58.50892352856229,196.29469633334435
Belarus,4,1.071688348965608,-2.694103990860365,66.85413117172817,64.43363251541285
Bulgaria,2,-0.2120270651806295,-1.1326628521580195,3.902531472529111,9.902351274435484
Czechia,1,1.4213228686553332,-0.40190196536013845,30.50667131272582,30.65912012865614
Hungary,1,1.078666047915334,0.007272769449040896,16.64007198698632,25.13642745711464
Poland,1,-0.010981871759933762,-1.0017382596790212,13.055332691484809,10.563115104835259
Republic of Moldova,4,0.5073180229384691,-2.5413221566138224,54.459025505297056,22.171813365654494
Romania,2,-1.237719393076068,-1.433169797980247,3.727457682749098,5.4858599463302
Russian Federation,4,0.6353184065084257,-2.3436691073703013,40.52259039470596,31.65184562652485
Ukraine,4,1.4367969935334874,-2.6438459102232374,96.12083865863306,85.24185989897146
Denmark,5,3.01453888408711,2.713255578982699,31.870312308699614,52.143329571646824
Estonia,5,2.925861497608343,-0.6579786940882187,108.51718436928603,83.67913751510042
Finland,5,1.916626666356288,1.2796537855300478,12.164610000309716,27.52779707361966
Iceland,5,2.516553126964614,1.727051897014101,22.166356142007604,51.05025394961844
Ireland,0,0.23125678143006667,2.6401230018037065,2.7497408865812067,5.887594392708684
Latvia,5,3.1955215320467625,-0.9531194964540559,138.07873154729361,88.24876981957354
Lithuania,5,1.5930674945073597,-0.4881102904198212,39.29861141336827,27.121275241926625
Norway,5,2.5941915798335717,1.3077329434874574,26.32699738039117,63.67193965197441
Sweden,5,2.9540637082541434,2.3743785139378573,49.442070219435976,79.44886506470755
United Kingdom,6,2.3537032974732295,2.050396570337343,36.26381190678825,66.292317233547
Albania,2,-0.6089360237165312,-1.5610646700465716,17.22369520089163,10.795857004189878
Bosnia and Herzegovina,2,-0.9453367933660362,-0.9204154099077851,12.642022209234366,5.8985973115137345
Croatia,4,1.1012390265678234,-1.2590289940071755,80.30426515939416,77.7552723801178
Greece,1,1.5473644775834505,-0.734935424392061,53.06084578759932,64.64888969225207
Italy,1,0.9254630513329721,-0.2187757819860921,19.69050750774259,51.248791886821586
Malta,1,1.047048506917974,0.08991904402247992,19.559425337396604,42.33347845015238
Montenegro,4,0.4203153022490866,-2.260665406234444,70.98360892436875,69.85258138986438
North Macedonia,4,0.15425156898740844,-1.5477876105304582,40.206033977610154,41.82678485601982
Portugal,4,1.1386622793577752,-1.169543977054163,30.805976202912934,43.38975230321774
Serbia,4,0.8917460822761967,-1.9946803524917602,117.63665151543528,67.73518552607479
Slovenia,5,1.8362535084547111,-0.6850298180081925,46.81039200464837,48.41554501515508
Spain,1,1.4172227259355412,-0.31854027448261557,20.328494540376784,60.80957703967128
Austria,6,2.699775092637053,1.6909798974014505,52.11559569352276,86.0567262160753
Belgium,1,2.1403445748956123,-0.422995147532892,46.89548926726543,78.3573636441972
France,1,1.9132048973345166,-0.6265025695803764,46.846770567844125,62.16756915948782
Germany,6,2.6543010913769165,0.479641991225319,63.512093345255856,77.25210818202036
Luxembourg,6,2.8315200658739106,0.27204597302589334,103.32373862308332,180.00566004812507
Netherlands,5,3.2209755874945145,1.4479510631265946,45.862683260895416,60.31583711207264
Switzerland,6,2.5868069299772958,1.4290713829906663,75.86001659391415,134.14239674604264
Dominican Republic,0,-0.7063952651794231,1.0271375733774597,12.960399959002938,18.181397880927307
Jamaica,0,-1.0733866423524752,3.0774624198559932,4.405877239922648,4.0346212977040885
Puerto Rico,0,0.49979995613113476,1.6946772723809416,58.239406611005236,46.69504369719304
Trinidad and Tobago,0,-0.48173016902186716,1.7340140648739089,16.424617112308848,18.68524102111183
Costa Rica,0,0.20024752397592474,0.5738071781074386,29.031805447654026,40.31998493302258
El Salvador,3,-1.9463847309552162,0.9027318668975675,2.7867440931771537,3.6572284864815385
Guatemala,3,-2.252242550213971,-0.24296812457744033,1.4882899764986468,2.163960793835776
Honduras,3,-2.4781613669775537,1.165782506295985,1.4030644220870645,1.8404606579927365
Mexico,3,-2.0385283223628794,1.295587361713592,1.9836296447796222,4.094802079154247
Panama,3,-1.6325697970072353,-0.539622846591689,10.080004329877632,22.109191641368046
Argentina,1,0.35848180659647877,0.549777129633573,17.929408971485273,21.49626434181968
Bolivia,3,-1.7222183521257695,-0.4751510600926338,3.958792936379427,5.98829792316688
Brazil,3,-1.8655881612838763,0.6593306007236701,1.4968768050733443,1.362546092398567
Chile,3,-0.7389277610062349,0.6320814438677967,4.2817440115785885,14.777289777434529
Colombia,3,-2.6124689685515876,1.4807141872149154,1.0116626557761836,1.279675230579398
Ecuador,3,-1.6162697667302408,0.6422974167050175,4.1265136442023325,9.329494698861998
Paraguay,3,-1.1948121282575828,-0.29497275382906196,13.839758912303237,12.301698756916114
Peru,3,-2.4773568548600284,0.16889715481577747,0.9728897413363352,2.183623499151855
Suriname,3,-0.3023601909607236,-0.3337468545632977,20.386050283860502,31.764801297648013
Uruguay,1,0.1217111695950107,-0.1552984498749537,13.653284472335804,12.332505870206498
Venezuela,0,-1.387054389315857,1.1635002759127617,17.71069888136901,24.581477715047164
Canada,6,2.528490025373181,1.4392914505450685,68.65679496561637,100.72174086344184
United States of America,6,1.9138823434708823,1.5134248207595433,51.74817815647873,72.39961620998848
Australia,6,2.687171918719652,1.4598595745425698,79.83426150695246,124.40780315151241
New Zealand,6,2.756636372118013,1.9976718041557444,66.26213683400003,108.93665370819012
Fiji,2,-1.0763315475286654,0.8054187371997694,6.791220477117094,7.026548810093366
